,hawkish_beta,dovish_beta,hawkish_r2,dovish_r2
1998-01-01,,,,
1998-02-01,,,,
1998-03-01,,,,
1998-04-01,,,,
1998-05-01,,,,
1998-06-01,,,,
1998-07-01,,,,
1998-08-01,,,,
1998-09-01,,,,
1998-10-01,,,,
1998-11-01,,,,
1998-12-01,,,,
1999-01-01,,,,
1999-02-01,,,,
1999-03-01,,,,
1999-04-01,,,,
1999-05-01,,,,
1999-06-01,,,,
1999-07-01,,,,
1999-08-01,,,,
1999-09-01,,,,
1999-10-01,,,,
1999-11-01,,,,
1999-12-01,,,,
2000-01-01,,,,
2000-02-01,,,,
2000-03-01,,,,
2000-04-01,,,,
2000-05-01,,,,
2000-06-01,,,,
2000-07-01,,,,
2000-08-01,,,,
2000-09-01,,,,
2000-10-01,,,,
2000-11-01,,,,
2000-12-01,0.0491012411835698,0.042774435868018504,0.019824238025147975,0.008819811559625593
2001-01-01,0.059147320907196384,0.10507785936061047,0.019071221338053772,0.041980533661021335
2001-02-01,0.0751005602197459,0.10160667702749328,0.028515943524473238,0.038597809451200824
2001-03-01,0.05059705197011337,0.0762050062163065,0.012754167882297687,0.02157603334680641
2001-04-01,0.03479084586226718,0.07698686971114158,0.005815183564193449,0.022397185487794645
2001-05-01,0.05153349737329071,0.0636304508551451,0.012106986281829504,0.01617429236629541
2001-06-01,0.025780829852059328,-0.010100156970592468,0.0030220957484893896,0.00046002701489121186
2001-07-01,0.018850831577531445,-0.017361595397333514,0.001525398035911526,0.0012223768038096914
2001-08-01,0.01539589330292169,-0.01477726904179718,0.0009683238353926874,0.0008968816865978158
2001-09-01,-0.018417498302171775,-0.015914952628999387,0.0014179501100745966,0.001140398723111635
2001-10-01,-0.018641613023427116,0.031116694830420955,0.0015942861943905127,0.004330679752513065
2001-11-01,-0.018545865133596566,0.03742620485555614,0.001615832316392941,0.007240986870386932
2001-12-01,-0.018728666105766623,0.0336289756787753,0.0016454950739322079,0.005974238735386379
2002-01-01,-0.01872300625263205,0.02294764281127019,0.0016504678265994905,0.002833071411845252
2002-02-01,-0.018622253206635374,0.03115171033308927,0.001608931081935948,0.005291771781418569
2002-03-01,-0.018558801520764084,0.026841533080483072,0.0017148616730732606,0.004234749766291861
2002-04-01,-0.018535421678812072,0.02658506001156184,0.0016963056037635886,0.0041207398860105635
2002-05-01,-0.018517544740093615,0.026201405557227456,0.001727928869994378,0.004085867351073111
2002-06-01,-0.017882961654572996,0.02862420396995377,0.0016131662804252092,0.004820662370504948
2002-07-01,-0.017882961654572996,0.04172058891844405,0.0016677812516954582,0.010373875512156712
